session,variant,alignment,skipped_leading_rows,manual_jump_index,algorithm_jump_index,manual_contact_time_s,algorithm_contact_time_s,contact_error_s,manual_air_time_s,algorithm_air_time_s,air_error_s,algorithm_touch_start_s,algorithm_lift_s,algorithm_landing_s
20260624_1_10次纵跳,current,trimmed_first_real_jump,0,1,1,0.210000000,0.284889700,0.074889700,0.380000000,0.461997800,0.081997800,4.912752400,5.197642100,4.912752400
20260624_1_10次纵跳,current,trimmed_first_real_jump,0,2,2,0.390000000,0.304903200,-0.085096800,0.370000000,0.448161400,0.078161400,5.645803500,5.950706700,5.645803500
20260624_1_10次纵跳,current,trimmed_first_real_jump,0,3,3,0.410000000,0.365931800,-0.044068200,0.390000000,0.461039900,0.071039900,6.411746600,6.777678400,6.411746600
20260624_1_10次纵跳,current,trimmed_first_real_jump,0,4,4,0.370000000,0.291593700,-0.078406300,0.370000000,0.443408100,0.073408100,7.221086500,7.512680200,7.221086500
20260624_1_10次纵跳,current,trimmed_first_real_jump,0,5,5,0.350000000,0.232638400,-0.117361600,0.390000000,0.473343900,0.083343900,7.986024100,8.218662500,7.986024100
20260624_1_10次纵跳,current,trimmed_first_real_jump,0,6,6,0.360000000,0.319623200,-0.040376800,0.370000000,0.453987100,0.083987100,8.672649600,8.992272800,8.672649600
20260624_1_10次纵跳,current,trimmed_first_real_jump,0,7,7,0.390000000,0.336882600,-0.053117400,0.370000000,0.410573500,0.040573500,9.402846300,9.739728900,9.402846300
20260624_1_10次纵跳,current,trimmed_first_real_jump,0,8,8,0.420000000,0.324008700,-0.095991300,0.390000000,0.475948100,0.085948100,10.215677000,10.539685700,10.215677000
20260624_1_10次纵跳,current,trimmed_first_real_jump,0,9,9,0.410000000,0.361982600,-0.048017400,0.430000000,0.487003100,0.057003100,11.026688800,11.388671400,11.026688800
20260624_1_10次纵跳,current,trimmed_first_real_jump,0,10,10,0.420000000,,,0.420000000,0.521137000,0.101137000,,11.388671400,11.909808400
20260624_1_10次纵跳,compensated,trimmed_first_real_jump,0,1,1,0.210000000,0.285791300,0.075791300,0.380000000,0.461847200,0.081847200,4.911747400,5.197538700,4.911747400
20260624_1_10次纵跳,compensated,trimmed_first_real_jump,0,2,2,0.390000000,0.305018600,-0.084981400,0.370000000,0.447165200,0.077165200,5.644703900,5.949722500,5.644703900
20260624_1_10次纵跳,compensated,trimmed_first_real_jump,0,3,3,0.410000000,0.365959000,-0.044041000,0.390000000,0.461009300,0.071009300,6.410731800,6.776690800,6.410731800
20260624_1_10次纵跳,compensated,trimmed_first_real_jump,0,4,4,0.370000000,0.291955900,-0.078044100,0.370000000,0.443065600,0.073065600,7.219756400,7.511712300,7.219756400
20260624_1_10次纵跳,compensated,trimmed_first_real_jump,0,5,5,0.350000000,0.231986700,-0.118013300,0.390000000,0.473979800,0.083979800,7.985692100,8.217678800,7.985692100
20260624_1_10次纵跳,compensated,trimmed_first_real_jump,0,6,6,0.360000000,0.318476800,-0.041523200,0.370000000,0.454672200,0.084672200,8.672351000,8.990827800,8.672351000
20260624_1_10次纵跳,compensated,trimmed_first_real_jump,0,7,7,0.390000000,0.336515100,-0.053484900,0.370000000,0.411382100,0.041382100,9.402209900,9.738725000,9.402209900
20260624_1_10次纵跳,compensated,trimmed_first_real_jump,0,8,8,0.420000000,0.324018800,-0.095981200,0.390000000,0.475931300,0.085931300,10.214656300,10.538675100,10.214656300
20260624_1_10次纵跳,compensated,trimmed_first_real_jump,0,9,9,0.410000000,0.361623100,-0.048376900,0.430000000,0.487315500,0.057315500,11.025990600,11.387613700,11.025990600
20260624_1_10次纵跳,compensated,trimmed_first_real_jump,0,10,10,0.420000000,,,0.420000000,0.521611700,0.101611700,,11.387613700,11.909225400
20260624_1_10次纵跳,touch_associated,trimmed_first_real_jump,0,1,1,0.210000000,0.351730400,0.141730400,0.380000000,0.395908100,0.015908100,4.845808300,5.197538700,4.845808300
20260624_1_10次纵跳,touch_associated,trimmed_first_real_jump,0,2,2,0.390000000,0.343992900,-0.046007100,0.370000000,0.408190900,0.038190900,5.605729600,5.949722500,5.605729600
20260624_1_10次纵跳,touch_associated,trimmed_first_real_jump,0,3,3,0.410000000,0.386902500,-0.023097500,0.390000000,0.440065800,0.050065800,6.389788300,6.776690800,6.389788300
20260624_1_10次纵跳,touch_associated,trimmed_first_real_jump,0,4,4,0.370000000,0.348634900,-0.021365100,0.370000000,0.386386600,0.016386600,7.163077400,7.511712300,7.163077400
20260624_1_10次纵跳,touch_associated,trimmed_first_real_jump,0,5,5,0.350000000,0.291426400,-0.058573600,0.390000000,0.414540100,0.024540100,7.926252400,8.217678800,7.926252400
20260624_1_10次纵跳,touch_associated,trimmed_first_real_jump,0,6,6,0.360000000,0.341032900,-0.018967100,0.370000000,0.432116100,0.062116100,8.649794900,8.990827800,8.649794900
20260624_1_10次纵跳,touch_associated,trimmed_first_real_jump,0,7,7,0.390000000,0.366043500,-0.023956500,0.370000000,0.381853700,0.011853700,9.372681500,9.738725000,9.372681500
20260624_1_10次纵跳,touch_associated,trimmed_first_real_jump,0,8,8,0.420000000,0.379960400,-0.040039600,0.390000000,0.419989700,0.029989700,10.158714700,10.538675100,10.158714700
20260624_1_10次纵跳,touch_associated,trimmed_first_real_jump,0,9,9,0.410000000,0.382718300,-0.027281700,0.430000000,0.466220300,0.036220300,11.004895400,11.387613700,11.004895400
20260624_1_10次纵跳,touch_associated,trimmed_first_real_jump,0,10,10,0.420000000,,,0.420000000,0.514381600,0.094381600,,11.387613700,11.901995300
20260624_1_10次纵跳,lift_associated,trimmed_first_real_jump,0,1,1,0.210000000,0.285894700,0.075894700,0.380000000,0.460992800,0.080992800,4.911747400,5.197642100,4.911747400
20260624_1_10次纵跳,lift_associated,trimmed_first_real_jump,0,2,2,0.390000000,0.306002800,-0.083997200,0.370000000,0.447061800,0.077061800,5.644703900,5.950706700,5.644703900
20260624_1_10次纵跳,lift_associated,trimmed_first_real_jump,0,3,3,0.410000000,0.366946600,-0.043053400,0.390000000,0.460025100,0.070025100,6.410731800,6.777678400,6.410731800
20260624_1_10次纵跳,lift_associated,trimmed_first_real_jump,0,4,4,0.370000000,0.292923800,-0.077076200,0.370000000,0.442078000,0.072078000,7.219756400,7.512680200,7.219756400
20260624_1_10次纵跳,lift_associated,trimmed_first_real_jump,0,5,5,0.350000000,0.232970400,-0.117029600,0.390000000,0.473011900,0.083011900,7.985692100,8.218662500,7.985692100
20260624_1_10次纵跳,lift_associated,trimmed_first_real_jump,0,6,6,0.360000000,0.319921800,-0.040078200,0.370000000,0.453688500,0.083688500,8.672351000,8.992272800,8.672351000
20260624_1_10次纵跳,lift_associated,trimmed_first_real_jump,0,7,7,0.390000000,0.337519000,-0.052481000,0.370000000,0.409937100,0.039937100,9.402209900,9.739728900,9.402209900
20260624_1_10次纵跳,lift_associated,trimmed_first_real_jump,0,8,8,0.420000000,0.325029400,-0.094970600,0.390000000,0.474927400,0.084927400,10.214656300,10.539685700,10.214656300
20260624_1_10次纵跳,lift_associated,trimmed_first_real_jump,0,9,9,0.410000000,0.362680800,-0.047319200,0.430000000,0.486304900,0.056304900,11.025990600,11.388671400,11.025990600
20260624_1_10次纵跳,lift_associated,trimmed_first_real_jump,0,10,10,0.420000000,,,0.420000000,0.520554000,0.100554000,,11.388671400,11.909225400
20260624_1_10次纵跳,associated,trimmed_first_real_jump,0,1,1,0.210000000,0.351833800,0.141833800,0.380000000,0.395053700,0.015053700,4.845808300,5.197642100,4.845808300
20260624_1_10次纵跳,associated,trimmed_first_real_jump,0,2,2,0.390000000,0.344977100,-0.045022900,0.370000000,0.408087500,0.038087500,5.605729600,5.950706700,5.605729600
20260624_1_10次纵跳,associated,trimmed_first_real_jump,0,3,3,0.410000000,0.387890100,-0.022109900,0.390000000,0.439081600,0.049081600,6.389788300,6.777678400,6.389788300
20260624_1_10次纵跳,associated,trimmed_first_real_jump,0,4,4,0.370000000,0.349602800,-0.020397200,0.370000000,0.385399000,0.015399000,7.163077400,7.512680200,7.163077400
20260624_1_10次纵跳,associated,trimmed_first_real_jump,0,5,5,0.350000000,0.292410100,-0.057589900,0.390000000,0.413572200,0.023572200,7.926252400,8.218662500,7.926252400
20260624_1_10次纵跳,associated,trimmed_first_real_jump,0,6,6,0.360000000,0.342477900,-0.017522100,0.370000000,0.431132400,0.061132400,8.649794900,8.992272800,8.649794900
20260624_1_10次纵跳,associated,trimmed_first_real_jump,0,7,7,0.390000000,0.367047400,-0.022952600,0.370000000,0.380408700,0.010408700,9.372681500,9.739728900,9.372681500
20260624_1_10次纵跳,associated,trimmed_first_real_jump,0,8,8,0.420000000,0.380971000,-0.039029000,0.390000000,0.418985800,0.028985800,10.158714700,10.539685700,10.158714700
20260624_1_10次纵跳,associated,trimmed_first_real_jump,0,9,9,0.410000000,0.383776000,-0.026224000,0.430000000,0.465209700,0.035209700,11.004895400,11.388671400,11.004895400
20260624_1_10次纵跳,associated,trimmed_first_real_jump,0,10,10,0.420000000,,,0.420000000,0.513323900,0.093323900,,11.388671400,11.901995300
20260624_1_10次纵跳,onset,trimmed_first_real_jump,0,1,1,0.210000000,0.349798200,0.139798200,0.380000000,0.399420300,0.019420300,4.847740500,5.197538700,4.847740500
20260624_1_10次纵跳,onset,trimmed_first_real_jump,0,2,2,0.390000000,0.342933200,-0.047066800,0.370000000,0.409250600,0.039250600,5.606789300,5.949722500,5.606789300
20260624_1_10次纵跳,onset,trimmed_first_real_jump,0,3,3,0.410000000,0.384900100,-0.025099900,0.390000000,0.440065800,0.050065800,6.389788300,6.774688400,6.389788300
20260624_1_10次纵跳,onset,trimmed_first_real_jump,0,4,4,0.370000000,0.347531200,-0.022468800,0.370000000,0.389492700,0.019492700,7.164181100,7.511712300,7.164181100
20260624_1_10次纵跳,onset,trimmed_first_real_jump,0,5,5,0.350000000,0.291426400,-0.058573600,0.390000000,0.414540100,0.024540100,7.926252400,8.217678800,7.926252400
20260624_1_10次纵跳,onset,trimmed_first_real_jump,0,6,6,0.360000000,0.341032900,-0.018967100,0.370000000,0.432116100,0.062116100,8.649794900,8.990827800,8.649794900
20260624_1_10次纵跳,onset,trimmed_first_real_jump,0,7,7,0.390000000,0.364951200,-0.025048800,0.370000000,0.382946000,0.012946000,9.373773800,9.738725000,9.373773800
20260624_1_10次纵跳,onset,trimmed_first_real_jump,0,8,8,0.420000000,0.378712200,-0.041287800,0.390000000,0.421237900,0.031237900,10.159962900,10.538675100,10.159962900
20260624_1_10次纵跳,onset,trimmed_first_real_jump,0,9,9,0.410000000,0.382718300,-0.027281700,0.430000000,0.466220300,0.036220300,11.004895400,11.387613700,11.004895400
20260624_1_10次纵跳,onset,trimmed_first_real_jump,0,10,10,0.420000000,,,0.420000000,0.447258000,0.027258000,,11.387613700,11.834871700
20260624_2_10次纵跳,current,trimmed_first_real_jump,1,1,2,0.280000000,0.182881400,-0.097118600,0.310000000,0.387106500,0.077106500,4.285526600,4.468408000,4.285526600
20260624_2_10次纵跳,current,trimmed_first_real_jump,1,2,3,0.280000000,0.230046700,-0.049953300,0.270000000,0.350416800,0.080416800,4.818824800,5.048871500,4.818824800
20260624_2_10次纵跳,current,trimmed_first_real_jump,1,3,4,0.250000000,0.170246100,-0.079753900,0.300000000,0.379138200,0.079138200,5.428009700,5.598255800,5.428009700
