session,variant,alignment,skipped_algorithm_rows,manual_n,algorithm_rows,matched_both,contact_n,air_n,missing_contact,missing_air,contact_mae_s,air_mae_s,combined_mae_s,event_time_backwards,fallback_count
20260624_1_10次纵跳,current,index,0,10,10,9,9,10,1,0,0.070813944,0.075659990,0.071821578,0,0
20260624_1_10次纵跳,current,best_offset,0,10,10,9,9,10,1,0,0.070813944,0.075659990,0.071821578,0,0
20260624_1_10次纵跳,compensated,index,0,10,10,9,9,10,1,0,0.071137478,0.075797990,0.072033639,0,0
20260624_1_10次纵跳,compensated,best_offset,0,10,10,9,9,10,1,0,0.071137478,0.075797990,0.072033639,0,0
20260624_1_10次纵跳,touch_associated,index,0,10,10,9,9,10,1,0,0.044557622,0.037965290,0.038127217,0,0
20260624_1_10次纵跳,touch_associated,best_offset,0,10,10,9,9,10,1,0,0.044557622,0.037965290,0.038127217,0,0
20260624_1_10次纵跳,lift_associated,index,0,10,10,9,9,10,1,0,0.070211122,0.074858150,0.071107089,0,0
20260624_1_10次纵跳,lift_associated,best_offset,0,10,10,9,9,10,1,0,0.070211122,0.074858150,0.071107089,0,0
20260624_1_10次纵跳,associated,index,0,10,10,9,9,10,1,0,0.043631267,0.037025450,0.037200667,0,0
20260624_1_10次纵跳,associated,best_offset,0,10,10,9,9,10,1,0,0.043631267,0.037025450,0.037200667,0,0
20260624_1_10次纵跳,onset,index,0,10,10,9,9,10,1,0,0.045065856,0.032254780,0.038937917,0,0
20260624_1_10次纵跳,onset,best_offset,0,10,10,9,9,10,1,0,0.045065856,0.032254780,0.038937917,0,0
20260624_2_10次纵跳,current,index,0,10,10,10,10,10,0,0,0.069754960,0.084244800,0.076999880,0,0
20260624_2_10次纵跳,current,best_offset,0,10,10,10,10,10,0,0,0.069754960,0.084244800,0.076999880,0,0
20260624_2_10次纵跳,compensated,index,0,10,10,10,10,10,0,0,0.070058690,0.084438730,0.077248710,0,0
20260624_2_10次纵跳,compensated,best_offset,0,10,10,10,10,10,0,0,0.070058690,0.084438730,0.077248710,0,0
20260624_2_10次纵跳,touch_associated,index,0,10,10,9,10,9,0,1,0.086732470,0.035507389,0.055081161,1,0
20260624_2_10次纵跳,touch_associated,best_offset,0,10,10,9,10,9,0,1,0.086732470,0.035507389,0.055081161,1,0
20260624_2_10次纵跳,lift_associated,index,0,10,10,10,10,10,0,0,0.068825160,0.083597220,0.076211190,0,0
20260624_2_10次纵跳,lift_associated,best_offset,0,10,10,10,10,10,0,0,0.068825160,0.083597220,0.076211190,0,0
20260624_2_10次纵跳,associated,index,0,10,10,9,10,9,0,1,0.085498940,0.034188044,0.053871083,1,0
20260624_2_10次纵跳,associated,best_offset,0,10,10,9,10,9,0,1,0.085498940,0.034188044,0.053871083,1,0
20260624_2_10次纵跳,onset,index,0,10,10,10,10,10,0,0,0.041943630,0.061951390,0.051947510,0,0
20260624_2_10次纵跳,onset,best_offset,0,10,10,10,10,10,0,0,0.041943630,0.061951390,0.051947510,0,0
20260624_3_垂直方向10次纵跳,current,index,0,10,10,9,9,10,1,0,0.149890300,0.151600430,0.151706228,0,0
20260624_3_垂直方向10次纵跳,current,best_offset,0,10,10,9,9,10,1,0,0.149890300,0.151600430,0.151706228,0,0
20260624_3_垂直方向10次纵跳,compensated,index,0,10,10,9,9,10,1,0,0.150063956,0.151752210,0.151864428,0,0
20260624_3_垂直方向10次纵跳,compensated,best_offset,0,10,10,9,9,10,1,0,0.150063956,0.151752210,0.151864428,0,0
20260624_3_垂直方向10次纵跳,touch_associated,index,0,10,10,9,9,10,1,0,0.055069811,0.055457140,0.056870283,0,0
20260624_3_垂直方向10次纵跳,touch_associated,best_offset,0,10,10,9,9,10,1,0,0.055069811,0.055457140,0.056870283,0,0
20260624_3_垂直方向10次纵跳,lift_associated,index,0,10,10,9,9,10,1,0,0.149008400,0.150707390,0.150824328,0,0
20260624_3_垂直方向10次纵跳,lift_associated,best_offset,0,10,10,9,9,10,1,0,0.149008400,0.150707390,0.150824328,0,0
20260624_3_垂直方向10次纵跳,associated,index,0,10,10,9,9,10,1,0,0.054014256,0.054412320,0.055830183,0,0
20260624_3_垂直方向10次纵跳,associated,best_offset,0,10,10,9,9,10,1,0,0.054014256,0.054412320,0.055830183,0,0
20260624_3_垂直方向10次纵跳,onset,index,0,10,10,9,9,10,1,0,0.103536600,0.109178860,0.105337072,0,0
20260624_3_垂直方向10次纵跳,onset,best_offset,0,10,10,9,9,10,1,0,0.103536600,0.109178860,0.105337072,0,0
