session,variant,alignment,min_plausible_air_s,skipped_leading_rows,manual_n,algorithm_rows_before_trim,algorithm_rows_after_trim,matched_both,contact_n,air_n,missing_contact,missing_air,contact_mae_s,air_mae_s,combined_mae_s,event_time_backwards,fallback_count
20260624_1_10次纵跳,current,trimmed_first_real_jump,0.100000000,0,10,10,10,9,9,10,1,0,0.070813944,0.075659990,0.071821578,0,0
20260624_1_10次纵跳,compensated,trimmed_first_real_jump,0.100000000,0,10,10,10,9,9,10,1,0,0.071137478,0.075797990,0.072033639,0,0
20260624_1_10次纵跳,touch_associated,trimmed_first_real_jump,0.100000000,0,10,10,10,9,9,10,1,0,0.044557622,0.037965290,0.038127217,0,0
20260624_1_10次纵跳,lift_associated,trimmed_first_real_jump,0.100000000,0,10,10,10,9,9,10,1,0,0.070211122,0.074858150,0.071107089,0,0
20260624_1_10次纵跳,associated,trimmed_first_real_jump,0.100000000,0,10,10,10,9,9,10,1,0,0.043631267,0.037025450,0.037200667,0,0
20260624_1_10次纵跳,onset,trimmed_first_real_jump,0.100000000,0,10,10,10,9,9,10,1,0,0.045065856,0.032254780,0.038937917,0,0
20260624_2_10次纵跳,current,trimmed_first_real_jump,0.100000000,1,10,10,9,9,9,9,1,1,0.062561967,0.067105700,0.064833833,0,0
20260624_2_10次纵跳,compensated,trimmed_first_real_jump,0.100000000,1,10,10,9,9,9,9,1,1,0.062713000,0.067096222,0.064904611,0,0
20260624_2_10次纵跳,touch_associated,trimmed_first_real_jump,0.100000000,0,10,10,10,9,10,9,0,1,0.086732470,0.035507389,0.055081161,1,0
20260624_2_10次纵跳,lift_associated,trimmed_first_real_jump,0.100000000,1,10,10,9,9,9,9,1,1,0.061233144,0.065776878,0.063505011,0,0
20260624_2_10次纵跳,associated,trimmed_first_real_jump,0.100000000,0,10,10,10,9,10,9,0,1,0.085498940,0.034188044,0.053871083,1,0
20260624_2_10次纵跳,onset,trimmed_first_real_jump,0.100000000,1,10,10,9,9,9,9,1,1,0.031484500,0.034852233,0.033168367,0,0
20260624_3_垂直方向10次纵跳,current,trimmed_first_real_jump,0.100000000,0,10,10,10,9,9,10,1,0,0.149890300,0.151600430,0.151706228,0,0
20260624_3_垂直方向10次纵跳,compensated,trimmed_first_real_jump,0.100000000,0,10,10,10,9,9,10,1,0,0.150063956,0.151752210,0.151864428,0,0
20260624_3_垂直方向10次纵跳,touch_associated,trimmed_first_real_jump,0.100000000,0,10,10,10,9,9,10,1,0,0.055069811,0.055457140,0.056870283,0,0
20260624_3_垂直方向10次纵跳,lift_associated,trimmed_first_real_jump,0.100000000,0,10,10,10,9,9,10,1,0,0.149008400,0.150707390,0.150824328,0,0
20260624_3_垂直方向10次纵跳,associated,trimmed_first_real_jump,0.100000000,0,10,10,10,9,9,10,1,0,0.054014256,0.054412320,0.055830183,0,0
20260624_3_垂直方向10次纵跳,onset,trimmed_first_real_jump,0.100000000,0,10,10,10,9,9,10,1,0,0.103536600,0.109178860,0.105337072,0,0
