session,jump_index,manual_air_time_s,manual_contact_time_s
20260624_1_10次纵跳,1,0.380000000,0.210000000
20260624_1_10次纵跳,2,0.370000000,0.390000000
20260624_1_10次纵跳,3,0.390000000,0.410000000
20260624_1_10次纵跳,4,0.370000000,0.370000000
20260624_1_10次纵跳,5,0.390000000,0.350000000
20260624_1_10次纵跳,6,0.370000000,0.360000000
20260624_1_10次纵跳,7,0.370000000,0.390000000
20260624_1_10次纵跳,8,0.390000000,0.420000000
20260624_1_10次纵跳,9,0.430000000,0.410000000
20260624_1_10次纵跳,10,0.420000000,0.420000000
20260624_2_10次纵跳,1,0.310000000,0.280000000
20260624_2_10次纵跳,2,0.270000000,0.280000000
20260624_2_10次纵跳,3,0.300000000,0.250000000
20260624_2_10次纵跳,4,0.320000000,0.260000000
20260624_2_10次纵跳,5,0.300000000,0.250000000
20260624_2_10次纵跳,6,0.320000000,0.240000000
20260624_2_10次纵跳,7,0.320000000,0.240000000
20260624_2_10次纵跳,8,0.330000000,0.220000000
20260624_2_10次纵跳,9,0.320000000,0.200000000
20260624_2_10次纵跳,10,0.380000000,0.400000000
20260624_3_垂直方向10次纵跳,1,0.350000000,0.330000000
20260624_3_垂直方向10次纵跳,2,0.330000000,0.430000000
20260624_3_垂直方向10次纵跳,3,0.370000000,0.440000000
20260624_3_垂直方向10次纵跳,4,0.370000000,0.440000000
20260624_3_垂直方向10次纵跳,5,0.390000000,0.420000000
20260624_3_垂直方向10次纵跳,6,0.360000000,0.370000000
20260624_3_垂直方向10次纵跳,7,0.360000000,0.340000000
20260624_3_垂直方向10次纵跳,8,0.340000000,0.350000000
20260624_3_垂直方向10次纵跳,9,0.330000000,0.360000000
20260624_3_垂直方向10次纵跳,10,0.410000000,0.700000000
