session,variant,event_index,kind,time,confirm_time,first_confirm_frame_time,onset_time,boundary_time,associated_track_id,fallback_reason,ratio,centroid_cm,frame_index
20260624_1_10次纵跳,current,1,touch,4.137736700,4.137736700,4.136762600,,3.671050700,53,,0.125000000,51.480000000,4021
20260624_1_10次纵跳,current,2,lift,4.450754600,4.450754600,4.449900200,,4.450754600,53,,0.000000000,,4334
20260624_1_10次纵跳,current,3,touch,4.912752400,4.912752400,4.911747400,,4.845808300,69,,0.135416667,49.920000000,4796
20260624_1_10次纵跳,current,4,lift,5.197642100,5.197642100,5.197538700,,5.197642100,69,,0.000000000,,5025
20260624_1_10次纵跳,current,5,touch,5.645803500,5.645803500,5.644703900,,5.605729600,80,,0.125000000,46.280000000,5529
20260624_1_10次纵跳,current,6,lift,5.950706700,5.950706700,5.949722500,,5.950706700,80,,0.000000000,,5834
20260624_1_10次纵跳,current,7,touch,6.411746600,6.411746600,6.410731800,,6.389788300,91,,0.125000000,37.960000000,6295
20260624_1_10次纵跳,current,8,lift,6.777678400,6.777678400,6.776690800,,6.777678400,91,,0.000000000,,6661
20260624_1_10次纵跳,current,9,touch,7.221086500,7.221086500,7.219756400,,7.163077400,106,,0.125000000,49.400000000,7104
20260624_1_10次纵跳,current,10,lift,7.512680200,7.512680200,7.511712300,,7.512680200,106,,0.000000000,,7396
20260624_1_10次纵跳,current,11,touch,7.986024100,7.986024100,7.985692100,,7.926252400,120,,0.125000000,51.480000000,7869
20260624_1_10次纵跳,current,12,lift,8.218662500,8.218662500,8.217678800,,8.218662500,120,,0.000000000,,8102
20260624_1_10次纵跳,current,13,touch,8.672649600,8.672649600,8.672351000,,8.649794900,138,,0.125000000,41.080000000,8556
20260624_1_10次纵跳,current,14,lift,8.992272800,8.992272800,8.990827800,,8.992272800,138,,0.000000000,,8875
20260624_1_10次纵跳,current,15,touch,9.402846300,9.402846300,9.402209900,,9.372681500,151,,0.135416667,52.000000000,9286
20260624_1_10次纵跳,current,16,lift,9.739728900,9.739728900,9.738725000,,9.739728900,151,,0.000000000,,9623
20260624_1_10次纵跳,current,17,touch,10.215677000,10.215677000,10.214656300,,10.158714700,171,,0.177083333,56.160000000,10098
20260624_1_10次纵跳,current,18,lift,10.539685700,10.539685700,10.538675100,,10.539685700,171,,0.000000000,,10422
20260624_1_10次纵跳,current,19,touch,11.026688800,11.026688800,11.025990600,,11.004895400,190,,0.145833333,42.120000000,10908
20260624_1_10次纵跳,current,20,lift,11.388671400,11.388671400,11.387613700,,11.388671400,190,,0.000000000,,11271
20260624_1_10次纵跳,current,21,touch,11.909808400,11.909808400,11.909225400,,11.901995300,213,,0.229166667,47.320000000,11792
20260624_1_10次纵跳,compensated,1,touch,4.136762600,4.137736700,4.136762600,,3.671050700,53,,0.125000000,51.480000000,4021
20260624_1_10次纵跳,compensated,2,lift,4.449900200,4.450754600,4.449900200,,4.450754600,53,,0.000000000,,4334
20260624_1_10次纵跳,compensated,3,touch,4.911747400,4.912752400,4.911747400,,4.845808300,69,,0.135416667,49.920000000,4796
20260624_1_10次纵跳,compensated,4,lift,5.197538700,5.197642100,5.197538700,,5.197642100,69,,0.000000000,,5025
