session,jump_index,exported_air_time_s,exported_contact_time_s,exported_cycle_time_s,exported_jump_height_m,exported_cadence_jumps_per_min
20260624_1_10次纵跳,1,0.461997800,0.284889700,0.733051100,0.261733212,81.849682785
20260624_1_10次纵跳,2,0.448161400,0.304903200,0.765943100,0.246290645,78.334800588
20260624_1_10次纵跳,3,0.461039900,0.365931800,0.809339900,0.260648989,74.134489106
20260624_1_10次纵跳,4,0.443408100,0.291593700,0.764937600,0.241093924,78.437770610
20260624_1_10次纵跳,5,0.473343900,0.232638400,0.686625500,0.274746766,87.383879568
20260624_1_10次纵跳,6,0.453987100,0.319623200,0.730196700,0.252735382,82.169640044
20260624_1_10次纵跳,7,0.410573500,0.336882600,0.812830700,0.206709697,73.816109554
20260624_1_10次纵跳,8,0.475948100,0.324008700,0.811011800,0.277778236,73.981660933
20260624_1_10次纵跳,9,0.487003100,0.361982600,0.883119600,0.290832189,67.940967452
20260624_1_10次纵跳,10,0.521137000,,,0.333029601,
20260624_2_10次纵跳,1,0.012704900,0.294491900,0.681598400,0.000197935,88.028375653
20260624_2_10次纵跳,2,0.387106500,0.182881400,0.533298200,0.183755331,112.507411426
20260624_2_10次纵跳,3,0.350416800,0.230046700,0.609184900,0.150573609,98.492264007
20260624_2_10次纵跳,4,0.379138200,0.170246100,0.576166300,0.176268256,104.136600839
20260624_2_10次纵跳,5,0.405920200,0.159460800,0.529301900,0.202050695,113.356857400
20260624_2_10次纵跳,6,0.369841100,0.195319600,0.564457800,0.167729466,106.296697468
20260624_2_10次纵跳,7,0.369138200,0.187730200,0.568917500,0.167092517,105.463445930
20260624_2_10次纵跳,8,0.381187300,0.186556300,0.563360100,0.178178733,106.503815233
20260624_2_10次纵跳,9,0.376803800,0.167253200,0.541652400,0.174104328,110.772148337
20260624_2_10次纵跳,10,0.374399200,0.177448000,,0.171889301,
20260624_3_垂直方向10次纵跳,1,0.511008000,0.198003900,0.640989000,0.320209652,93.605350482
20260624_3_垂直方向10次纵跳,2,0.442985100,0.307045900,0.817134100,0.240634148,73.427360332
20260624_3_垂直方向10次纵跳,3,0.510088200,0.292832600,0.805829100,0.319057953,74.457474916
20260624_3_垂直方向10次纵跳,4,0.512996500,0.299055900,0.830064200,0.322706583,72.283565536
20260624_3_垂直方向10次纵跳,5,0.531008300,0.267449900,0.801965300,0.345765485,74.816204641
20260624_3_垂直方向10次纵跳,6,0.534515400,0.219010500,0.726002800,0.350347857,82.644309361
20260624_3_垂直方向10次纵跳,7,0.506992300,0.133998200,0.656027500,0.315196762,91.459580582
20260624_3_垂直方向10次纵跳,8,0.522029300,0.173953200,0.684029500,0.334171016,87.715515193
20260624_3_垂直方向10次纵跳,9,0.510076300,0.239637200,0.783942100,0.319043066,76.536264604
20260624_3_垂直方向10次纵跳,10,0.544304900,,,0.363298419,
