session,variant,pairing_mode,jump_index,touch_start_s,lift_s,landing_s,contact_time_s,air_time_s
20260624_1_10次纵跳,current,production_equivalent,1,4.912752400,5.197642100,4.912752400,0.284889700,0.461997800
20260624_1_10次纵跳,current,production_equivalent,2,5.645803500,5.950706700,5.645803500,0.304903200,0.448161400
20260624_1_10次纵跳,current,production_equivalent,3,6.411746600,6.777678400,6.411746600,0.365931800,0.461039900
20260624_1_10次纵跳,current,production_equivalent,4,7.221086500,7.512680200,7.221086500,0.291593700,0.443408100
20260624_1_10次纵跳,current,production_equivalent,5,7.986024100,8.218662500,7.986024100,0.232638400,0.473343900
20260624_1_10次纵跳,current,production_equivalent,6,8.672649600,8.992272800,8.672649600,0.319623200,0.453987100
20260624_1_10次纵跳,current,production_equivalent,7,9.402846300,9.739728900,9.402846300,0.336882600,0.410573500
20260624_1_10次纵跳,current,production_equivalent,8,10.215677000,10.539685700,10.215677000,0.324008700,0.475948100
20260624_1_10次纵跳,current,production_equivalent,9,11.026688800,11.388671400,11.026688800,0.361982600,0.487003100
20260624_1_10次纵跳,current,production_equivalent,10,,11.388671400,11.909808400,,0.521137000
20260624_1_10次纵跳,current,raw_triplet,1,4.137736700,4.450754600,4.912752400,0.313017900,0.461997800
20260624_1_10次纵跳,current,raw_triplet,2,4.912752400,5.197642100,5.645803500,0.284889700,0.448161400
20260624_1_10次纵跳,current,raw_triplet,3,5.645803500,5.950706700,6.411746600,0.304903200,0.461039900
20260624_1_10次纵跳,current,raw_triplet,4,6.411746600,6.777678400,7.221086500,0.365931800,0.443408100
20260624_1_10次纵跳,current,raw_triplet,5,7.221086500,7.512680200,7.986024100,0.291593700,0.473343900
20260624_1_10次纵跳,current,raw_triplet,6,7.986024100,8.218662500,8.672649600,0.232638400,0.453987100
20260624_1_10次纵跳,current,raw_triplet,7,8.672649600,8.992272800,9.402846300,0.319623200,0.410573500
20260624_1_10次纵跳,current,raw_triplet,8,9.402846300,9.739728900,10.215677000,0.336882600,0.475948100
20260624_1_10次纵跳,current,raw_triplet,9,10.215677000,10.539685700,11.026688800,0.324008700,0.487003100
