session,variant,pairing_mode,event_count,touch_count,lift_count,jump_rows,contact_n,air_n,contact_avg_s,air_avg_s
20260624_1_10次纵跳,current,production_equivalent,21,11,10,10,9,10,0.313605989,0.463659990
20260624_1_10次纵跳,current,raw_triplet,21,11,10,10,10,10,0.313547180,0.463659990
20260624_1_10次纵跳,compensated,production_equivalent,21,11,10,10,9,10,0.313482811,0.463797990
20260624_1_10次纵跳,compensated,raw_triplet,21,11,10,10,10,10,0.313448290,0.463797990
20260624_1_10次纵跳,touch_associated,production_equivalent,21,11,10,10,9,10,0.354715800,0.425965290
20260624_1_10次纵跳,touch_associated,raw_triplet,21,11,10,10,10,10,0.397129170,0.425965290
20260624_1_10次纵跳,lift_associated,production_equivalent,21,11,10,10,9,10,0.314432144,0.462858150
20260624_1_10次纵跳,lift_associated,raw_triplet,21,11,10,10,10,10,0.314388130,0.462858150
20260624_1_10次纵跳,associated,production_equivalent,21,11,10,10,9,10,0.355665133,0.425025450
20260624_1_10次纵跳,associated,raw_triplet,21,11,10,10,10,10,0.398069010,0.425025450
20260624_1_10次纵跳,onset,production_equivalent,21,11,10,10,9,10,0.353778189,0.420254780
20260624_1_10次纵跳,onset,raw_triplet,21,11,10,10,10,10,0.354265560,0.420254780
20260624_2_10次纵跳,current,production_equivalent,22,11,11,10,10,10,0.195143420,0.340665620
20260624_2_10次纵跳,current,raw_triplet,22,11,11,10,10,10,0.178491830,0.340665620
20260624_2_10次纵跳,compensated,production_equivalent,22,11,11,10,10,10,0.195175290,0.340484170
20260624_2_10次纵跳,compensated,raw_triplet,22,11,11,10,10,10,0.178622130,0.340484170
20260624_2_10次纵跳,touch_associated,production_equivalent,22,11,11,10,10,9,0.268708970,0.345507389
20260624_2_10次纵跳,touch_associated,raw_triplet,22,11,11,9,9,9,0.275835556,0.345507389
20260624_2_10次纵跳,lift_associated,production_equivalent,22,11,11,10,10,10,0.196605500,0.339203540
20260624_2_10次纵跳,lift_associated,raw_triplet,22,11,11,10,10,10,0.179902760,0.339203540
20260624_2_10次纵跳,associated,production_equivalent,22,11,11,10,10,9,0.270139180,0.344188044
20260624_2_10次纵跳,associated,raw_triplet,22,11,11,9,9,9,0.277154900,0.344188044
20260624_2_10次纵跳,onset,production_equivalent,22,11,11,10,10,10,0.225099410,0.310560050
20260624_2_10次纵跳,onset,raw_triplet,22,11,11,10,10,10,0.206746290,0.310560050
20260624_3_垂直方向10次纵跳,current,production_equivalent,21,11,10,10,9,10,0.236776367,0.512600430
20260624_3_垂直方向10次纵跳,current,raw_triplet,21,11,10,10,10,10,0.300406720,0.512600430
20260624_3_垂直方向10次纵跳,compensated,production_equivalent,21,11,10,10,9,10,0.236602711,0.512752210
20260624_3_垂直方向10次纵跳,compensated,raw_triplet,21,11,10,10,10,10,0.300342180,0.512752210
20260624_3_垂直方向10次纵跳,touch_associated,production_equivalent,21,11,10,10,9,10,0.331596856,0.416457140
20260624_3_垂直方向10次纵跳,touch_associated,raw_triplet,21,11,10,10,10,10,0.399342520,0.416457140
20260624_3_垂直方向10次纵跳,lift_associated,production_equivalent,21,11,10,10,9,10,0.237658267,0.511707390
20260624_3_垂直方向10次纵跳,lift_associated,raw_triplet,21,11,10,10,10,10,0.301387000,0.511707390
20260624_3_垂直方向10次纵跳,associated,production_equivalent,21,11,10,10,9,10,0.332652411,0.415412320
20260624_3_垂直方向10次纵跳,associated,raw_triplet,21,11,10,10,10,10,0.400387340,0.415412320
20260624_3_垂直方向10次纵跳,onset,production_equivalent,21,11,10,10,9,10,0.283130067,0.470178860
20260624_3_垂直方向10次纵跳,onset,raw_triplet,21,11,10,10,10,10,0.344918560,0.470178860
